FY,Month Grouping,Month (abbv),Region,Field Office,State,Port of Entry,Mode of Transportation,Measure Name,Category,Count
2022,FYTD,APR,Coastal/Interior,NEW ORLEANS,AL,"HUNTSVILLE, AL (1910)",Air,Travelers,Air,16
2022,FYTD,APR,Coastal/Interior,NEW ORLEANS,AL,"MOBILE, AL (1901)",Air,Conveyances,Air,8
2022,FYTD,APR,Coastal/Interior,NEW ORLEANS,AL,"MOBILE, AL (1901)",Air,Travelers,Air,42
2022,FYTD,APR,Coastal/Interior,NEW ORLEANS,AR,"LITTLE ROCK, AR (2003)",Air,Conveyances,Air,7
2022,FYTD,APR,Coastal/Interior,NEW ORLEANS,AR,"LITTLE ROCK, AR (2003)",Air,Travelers,Air,17
2022,FYTD,APR,Coastal/Interior,NEW ORLEANS,AR,ROGERS MUNICIPAL AIRPORT (2084),Air,Conveyances,Air,22
2022,FYTD,APR,Coastal/Interior,NEW ORLEANS,AR,ROGERS MUNICIPAL AIRPORT (2084),Air,Travelers,Air,131
2022,FYTD,APR,Coastal/Interior,NEW ORLEANS,LA,"BATON ROUGE, LA (2004)",Air,Conveyances,Air,10
2022,FYTD,APR,Coastal/Interior,NEW ORLEANS,LA,"BATON ROUGE, LA (2004)",Air,Travelers,Air,63
2022,FYTD,APR,Coastal/Interior,NEW ORLEANS,LA,"NEW ORLEANS, LA (2002)",Air,Conveyances,Air,122
2022,FYTD,APR,Coastal/Interior,NEW ORLEANS,LA,"NEW ORLEANS, LA (2002)",Air,Travelers,Air,5862
2022,FYTD,APR,Coastal/Interior,NEW ORLEANS,LA,SHREVEPORT/BOSSIER CITY (2018),Air,Conveyances,Air,2
2022,FYTD,APR,Coastal/Interior,NEW ORLEANS,LA,SHREVEPORT/BOSSIER CITY (2018),Air,Travelers,Air,7
2022,FYTD,APR,Coastal/Interior,NEW ORLEANS,MS,"GULFPORT, MS (1902)",Air,Conveyances,Air,2
